Цитата №;Дата;Цитата;Рейтинг
['Цитата #375', ' 6 декабря 2007 ', ' добавлено:admin'];декабря 2007 | ;//разговор уволеного програмера и его бывшего начальникаxxx: и всетаки вы далпаеп...yyy: Дурак вы Алексей, вот когда будут звонить с вашей новой работы за рекомендацией - я им очень красочно вас опишу.xxx: сосите! я устраиваюсь в налоговую и тоже очень красочно им вас опишу;3384
['Цитата #16095', ' 1 октября 2010 ', ' добавлено:bash.org.ru'];1 октября 2010 ;"xx: Мне сейчас спам пришел ""Я живу в доме напротив, вот моя ссылка *адрес ссылки*. Давай познакомимся"". Я ответил, что живу напротив морга и меня пугают такие знакомства";3380
['Цитата #1322', ' 12 сентября 2008 ', ' добавлено:bash.org.ru'];2 сентября 2008;"Вчера, картина, в метро на Тургеньевской.Сижу, жду жену.Подъезжает поезд, как обычно народу много, 6 часов вечера.И вот все зашли и один мужик подбегает к двери последний и резко останавливается.Я вижу по лицу, что он завис что бы чихнуть, да и видно, что простывший.Ну он естественно очень сильно и от души чихает и в это же время закрывается дверь в вагон и мужик не успевает. А на дверях вагона, на стекле, висит реклама ""NOD32 ESET""Мужик смотрит на неё, достаёт платок, вытирает нос и выдаёт.""Ну да.. хуле.. антивирус.. Понимаю!""";3203
['Цитата #16244', ' 6 октября 2010 ', ' добавлено:bash.org.ru'];6 октября 2010 ;Stanislav: Так вот, конфуз. Еду домой в переполненном автобусе, пару из которых тупо проехали. Сжали со всех сторон. Слушаю музыку, пытаюсь не нервничать. Тут чую правое ухо выпадает, поскольку какая то бабка провод что к плееру зацепила. Ну я уже и так и сяк, короче выпало. В одной руке рюкзак, другой держусь на поручень. На светофоре резко отпускаю поручень и начинаю наушник искать, нащупываю провод, дергаю, а наушник зацепился собака, дергаю сильнее, попадает мне в руку, запихиваю его в ухо и офигеваю того что в разных ушах играет РАЗНАЯ музыка.Stanislav: Ну и нависающий надо мной с искренним удивлением араб какой-то.Stanislav: С его точки зрения еще забавнее все. Стоит какой то толстожопый русский, потом у тебя из уха вырывает наушник, вставляет его себе а потом на тебя пялится. Нужно было еще добить просьбой поставить че-нить прикольное.;3168
['Цитата #1408', ' 15 сентября 2008 ', ' добавлено:bash.org.ru'];5 сентября 2008;"PblCb: недавно спам раздавали у метро со словами ""вот какая-то хуйня тут"".не смог не взять.";3145
['Цитата #942', ' 23 августа 2008 ', ' добавлено:bash.org.ru']; августа 2008 |;"Встретилось слово ""скарификатор"". Решил поглядеть, что это, вбиваю в Вики.""Скарификатор — инструмент для скарификации перикарда, рабочая часть которого имеет зубчатую нарезку""Ояебу, я так и думал.";3044
['Цитата #12823', ' 23 апреля 2010 ', ' добавлено:bash.org.ru'];23 апреля 2010 ;х: БЛЯТЬ ТЫ КАКОВА ХЕРА ФОТКИ ВЫЛОЖИЛ ???!!!х: МНЕ РОДОКИ ТАКИХ ПИЗДУЛЕЙ НАВЕШАЛИ!!!х: УВИЖУ ТЕБЯ УБЬЮ СУКУ!!!!!у: кись 2 вопросау: 1 какие фотки именно ???х: ТВОЙ ДР !!!у: 2 как предки унали что это ты ????????х: ОНИ РОДИТЕЛИ И ЗНАЮТ ГДЕ У ИХ ДОЧЕРИ РОДИНКА НА ЖОПЕ!!!! ПОНЯЛ ОСЕЛ!!!!;2999
['Цитата #1156', ' 8 сентября 2008 ', ' добавлено:bash.org.ru']; сентября 2008 ;"Работаю в салоне связи. Заходит сегодня к нам святой отец. Причем огромных размеров. Рост более двух метров, весом не менее 180 кило. Денег хотел на телефон положить. Я ему объясняю, что по техническим причинам сейчас не могу ему помочь и предлагаю положить деньги, через платежных терминал.Он пару секунд подумал и выдает: ""Недоверяю я ему. в случае чаго ему ни в глаз ни дать, ни отпеть""";2956
['Цитата #16803', ' 26 октября 2010 ', ' добавлено:bash.org.ru'];26 октября 2010;"yyy: Хай. Купил айфон, четверку.xxx: А старый загнал уже?yyy: Неа. Так с двумя и хожу.yyy: Тут еду с деревни, везу в двух сумках картофан, сам одет ""с картошки"", напротив садится и благоухает все из себя кисо. Достает свой айфон и начинает его так ненавязчиво всем так демонстрировать - и фотки посмотрит, и плеер включит.yyy: Тут я лезу в сумку с картошкой и достаю тоже айфон. Говорю вполголоса ""Блин, не тот"", лезу и достаю второй. Надо было видеть ее лицо.";2930
['Цитата #16214', ' 5 октября 2010 ', ' добавлено:bash.org.ru'];5 октября 2010 ;xxx: В командировке на съемной квартире нужна была марля, чтобы погладить футболку. Начал шариться по всем ящикам. Марлю не нашел, зато нашел ключ в шкафу между простынями. Вспомнил, что один ящик в этом шкафу был заперт. Попробовал открыть его найденным ключом. Открыл. Внутри нашел марлю. Не зря в квесты играл..;2906
['Цитата #1416', ' 15 сентября 2008 ', ' добавлено:bash.org.ru'];5 сентября 2008;друг рассказал:у знакомого родители уехали на дачу, оставили денег и полный холодильник еды. Он приходит домой, заглядывает в него, еды нет, только банка варенья и запеканка.Потом заходит в комнату, видит, что ноута нет, фотоаппарата и тд, понял, что их грабанули.Звонит маме, рассказывает.Реакция мамы (обиженно):-Я не поняла, а чё это мою запеканку не упёрли?! У меня вкусная запеканка...;2684
['Цитата #14272', ' 8 июля 2010 ', ' добавлено:bash.org.ru'];8 июля 2010 | д;Говорят, от поноса морковь помогает.Боюсь представить, каким образом.;2339
['Цитата #12541', ' 9 апреля 2010 ', ' добавлено:bash.org.ru'];9 апреля 2010 |;"С форума:Вышел я из своего кабинета в соседний на 5 мин. и в этот момент ко мне зашел сотрудник службы безопасности предприятия. Увидев, что меня нет на месте, он отключил принтер и унес в свой кабинет и начал писать служебку, что сотрудник айти отдела за халатность, а именно за открытую дверь в кабинете, должен быть оштрафован на 5% оклада.Меня это не на шутку встревожило. Охраняемый этаж. Вход на этаж по пропускам. На этаже работает 25 человек, которых я прекрасно знаю и больше никого постороннего окромя начальства на этаж не заходит. Вынести ничего не возможно ибо охрана. Везде по коридору камеры наблюдения. Комп через минуту паролится. Двери во время работы никто никогда не закрывал. Поэтому пожаловался начальству. Мне же начали объяснять, что айти отдел самое уязвимое место ""ПОЧЕМУТА"".45 мин. назад зашел в пустой кабинет к службе безопасности и отключил 2 монитора и вынес в свой кабинет.В данный момент меня пытаются лишить еще 5%.";2332
['Цитата #1300', ' 11 сентября 2008 ', ' добавлено:bash.org.ru'];1 сентября 2008;Седня из окна универа увидел чьи-то шпоры.. Нацарапанные на дверях гаражей :D;2319
['Цитата #10304', ' 6 декабря 2009 ', ' добавлено:bash.org.by'];6 декабря 2009 ;"Попробуйте ввести в гугле ""лучший антидепрессант"". Первая ссылка обнадеживает.";2315
['Цитата #1157', ' 8 сентября 2008 ', ' добавлено:bash.org.ru']; сентября 2008 ;Из форума:xxx: ребят, такая проблема: мне в последнее время никто не верит!yyy: да не может быть, чтоб СОВСЕМ НИКТО не верил!ххх: спасибо, млять...;2249
['Цитата #1256', ' 9 сентября 2008 ', ' добавлено:bash.org.ru']; сентября 2008 ;"Да-да-да, я знал его ещё в НикольскеБолее тупой и злой детины, пожалуй, не встречалПомню, я его спросил, почему он даже на малейшую критику в свой адрес отвечает агрессивными выпадами с угрозой физической расправыОн почесал репу, погрозил мне кулаком и сказал ""Ща ведь ёбну!""";2224
['Цитата #1140', ' 7 сентября 2008 ', ' добавлено:bash.org.ru']; сентября 2008 ;xxx:У меня в супе что-то плавает!Оо.yyy: Это суп.Там всегда что-то плавает.xxx:Да,но оно кролем плавает!!yyy: хDD;2218
['Цитата #1228', ' 9 сентября 2008 ', ' добавлено:bash.org.ru']; сентября 2008 ;base (23:04:13 4/09/2008):на днях щелкал каналы ночью и наткнулся на очередной развод где из букв слова составляютbase (23:04:58 4/09/2008):так там предлогали угадать слово из трех рэндомных составляющих: тихо, анал и писик.base (23:05:26 4/09/2008):даже ведущий некоторое время был в ахуе и нервно косился на людей за кадром о_О;2127
['Цитата #11568', ' 17 февраля 2010 ', ' добавлено:bash.org.ru'];17 февраля 2010;"ххх: ехала на маленьком подъемнике. попросила мне сообщить, когда отцепляться, отцепилась раньше и поехала назад.ххх: врезалась в другой подъемник, потом меня догнал еще один, я как раз в позе раком цеплялась руками за снег...ххх: ударилась о чей-то ботинок, потеряла одну лыжу и на одной лыже покатилась в лесок.ххх: а смотритель в валенках и ушанке бежал за мной с криками: ""Девушка, в лес нельзя"", а я, чуть не рыдая, кричала: ""А я туда и не хочу""... и ехала, и ехала...";2115
['Цитата #233', ' 30 ноября 2007 ', ' добавлено:admin']; ноября 2007 | ;xxx: сижу в машине гаи, он молчит и я молчуxxx: тут он говорит: что ты мне ничего не предлагаешь?xxx: Я ему: выходи за меня!xxx: Он поржал и отпустил....;2050
['Цитата #12390', ' 1 апреля 2010 ', ' добавлено:bash.org.by'];1 апреля 2010 |;она: И что делать с этой программой??он : Установи и крякниона: Установила и крякнула ниче не работаетон : Ты как крякала?...она: как уточка);2049
['Цитата #13596', ' 2 июня 2010 ', ' добавлено:bash.org.ru'];2 июня 2010 | д;Марина: Ты просто козел!!!Berk: И ты это кому говоришь, мее?Berk: *мнеBerk: пилять :(;2016
['Цитата #1019', ' 29 августа 2008 ', ' добавлено:bash.org.ru'];9 августа 2008 ;Skat: А Оригами очень между прочим успокаивает...Skat: Особенно когда оно, сцуко не получается!!!!!!!!;2005
['Цитата #17401', ' 24 ноября 2010 ', ' добавлено:bash.org.ru'];24 ноября 2010 ;xxx: Где ты моя, кареокая, где?yyy: Плачет сидит и вся жопа в говне, бойсо, за тобой я иду.xxx: Э... Вы муж?yyy: Муж-муж. Выходи давай, потолкуем.xxx: А Вы где?yyy: Да у подъезда стою. Видишь мужика с коммуникатором?xxx: Знаете, я не пойду.yyy: Давай, выходи, не заставляй меня подниматься и открывать тем комплектом ключей, что ты ей дал.;1981
['Цитата #19529', ' 4 марта 2011 ', ' добавлено:bash.org.ru'];4 марта 2011 | ;(с форума)xxx: Мало чего меня может испугать после того случая, когда наша черепаха застряла под крестовиной стула на колёсиках, и выперлась с ним из тёмного коридора.;1908
['Цитата #9959', ' 18 ноября 2009 ', ' добавлено:bash.org.ru'];8 ноября 2009 |;xxx: Свердловский областной суд запретил страховать депутатов от изнасилования и ударов молнии.ууу: Наконец-то - сказал Зевс, протирая молнию. )xxx: И не только молнию... );1892
['Цитата #15683', ' 11 сентября 2010 ', ' добавлено:bash.org.ru'];11 сентября 201;ххх: почему так долго?ууу: ты не представляешь какая она тупая! я на нее так орал! матерился на всю улицу. ко мне даже гастарбайтеры подошли, спросили куда щебень разгружать - думали я прораб;1888
['Цитата #11776', ' 28 февраля 2010 ', ' добавлено:bash.org.ru'];28 февраля 2010;xxx: иногда мне хочется ему просто уебатьyyy: И мнеxxx: и тебе тоже;1861
['Цитата #970', ' 26 августа 2008 ', ' добавлено:bash.org.ru']; августа 2008 |;Подарили черепаху. В начале кормить забывал. И каждый раз как вспоминал уже спал почти, сил встать и покормитъ не было. Дк вот, приехала как-то в гости девушка. Помню приятный был вечер. Утром чувствую, пихает кто-то и, так немного с хрипотцой говорит: '' кирилл, вставай, я есть хочу''. Ну, думаю, сцуко я, до чего животное довел. Припёрлось, куда-то девушко дело, толкается, жрать требует. Ужас был в глазах девушки, когда ответно толкая её говорю: ''отвали. Иди обратно в аквариум. Корм рядом стоит'';1816
['Цитата #1211', ' 9 сентября 2008 ', ' добавлено:bash.org.ru']; сентября 2008 ;ххх:когда я была маленькая, мама заставляла меня есть супы и каши. а я мечтала, что вырасту и буду питаться одной сухомяткой. сцуко, мечты сбываются...;1779
['Цитата #16259', ' 6 октября 2010 ', ' добавлено:bash.org.ru'];6 октября 2010 ;ххх: У кого растут сосулькиххх: рям из носа на усы?ххх: У кого щас на работеххх: Леденцы из колбасы?ууу: О_оххх: Это Я! Это Я!ххх: ОТОПЛЕНИЕ ГДЕ, БЛЯ???!;1738
['Цитата #14284', ' 8 июля 2010 ', ' добавлено:bash.org.ru'];8 июля 2010 | д;- Все, зай. Я спать. Целую, люблю, обнимаю, мурлыкаю и уютно соплю тебе в ушко :)- Эээээ.... а за что соплю-то в ухо?;1722
['Цитата #856', ' 21 декабря 2007 ', ' добавлено:admin']; декабря 2007 |;Sheff: Был прикол - скучно было одному в МорталКомбат играть - уговорил жену,выделил ей неудобную часть клавиатуры - все равно, говорю, тебе заново привыкать, а мне переучиваться сложно. Ну сделал ее раз, ну два, ну пять. И - всё. Дальшемочила она меня в любом виде минуты за две. Ну еще бы. Куда мне до ее 500 знаков в минуту десятипальцевым слепым методом...;1682
['Цитата #13383', ' 22 мая 2010 ', ' добавлено:bash.org.ru'];22 мая 2010 | д;"4ert: почему мы говорим вместо ""поговорить"" - ""поболтать""?4ert: поболтать, блин, можно и хуем, стоя на обрыве4ert: стоишь, значит, болтаешь, на обрыве4ert: поворачиваешь голову - а там твой друг стоит, тоже болтает4ert: и думаешь ""как хорошо, когда есть, с кем поболтать"" %)";1634
['Цитата #10901', ' 13 января 2010 ', ' добавлено:bash.org.ru'];13 января 2010 ;xxx: Я второй десяток лет занимаюсь боксом. Жена - кикбоксингом. Мы не ссоримся.xxx: Нам ссыкотно.;1633
['Цитата #12559', ' 10 апреля 2010 ', ' добавлено:bash.org.by'];10 апреля 2010 ;"Рамашка | ты не помнишь тот вечер???PunxNotDead | нет... не пугай меня...Рамашка | я всё понимаю день сисадмина.. куча пива... друзья линейщики...PunxNotDead | бл*ь... да что такое ????Рамашка | могу понять, когда вы шли и орали, цитирую: ""бойтесь все ктулху пробудицца и наступит век линейщиков и админов""...Рамашка | но доипацца до гоПнегов со словами: чё ПКашки ,п*здец вам, я спелхауллер хай левел ....Рамашка | я бы поняла, если б вы их с газавиков зашмаляли... ибо у вас они есть я знаю...Рамашка | я даже не удивилась, когда к гопнегом подкрепление пришло, и все к тебе в подьезд свалили...Рамашка | но когда из подьезда вылетают гопнеги и дружно вызываю ментов, а следом за ними ты в кимано со своим мечом (катаной твоей любимой) с криком, вам всем п*зда я саб переключил....";1620
['Цитата #18582', ' 18 января 2011 ', ' добавлено:bash.org.by'];18 января 2011 ;Юля Антончик > Сидим на зачете. Препод постепенно удаляетучеников со шпорами. Заходит декан: Ооо... а тут наверно много любителей посписывать... Препод: Неет, любители уже ушли, остались толькопрофессионалы.;1619
['Цитата #14163', ' 1 июля 2010 ', ' добавлено:bash.org.ru'];1 июля 2010 | д;"yyy: а мне ты сказок не писал :(xxx: так и она на мои сообщения не через год отвечает :)yyy: ты злой((((xxx: нет, Юля, считать парня неудачником и поэтому свалить хрен знает куда, ни слова не сказав, а потом, узнав, что он преуспел в жизни, снова начать с ним заигрывать, это называется не ""ты злой"", а ""я лоханулась""";1614
['Цитата #16796', ' 26 октября 2010 ', ' добавлено:bash.org.ru'];26 октября 2010;"xxx: Захожу удалённо с работы на домашний комп кой-чего слить. Вдруг - уведомление, что мобильник сына с компьютером по блютузу соединился. Пишу смс: ""Ты школу прогуливаешь или дома телефон забыл?"". Тут же получаю ответ: ""я телефон дома забыл"".xxx: Так что вечером ждёт возмездие: за прогул, за враньё и особое - за тупость!";1608
['Цитата #16456', ' 13 октября 2010 ', ' добавлено:bash.org.ru'];13 октября 2010;"Пишу курсак, третьи сутки толком не сплю, сижу на кофе и всякой быстрорастворимой и быстросжирательной еде. Внимание рассредоточено, мир сузился до монитора.И тут откуда-то сбоку яркая вспышка света! Звук как будто по мне стреляет дроид из звездных войн, или в комнату телепортировался терминатор из будущего! Ослепший, я падаю со стула в попытки уклониться, ползу под стол, все бумаги, тетради, клавиатура заливаются горячим кофе.Слышу из укрытия голос брата - ""Охуеть...""Оказывается он просто фотоаппарат со вспышкой проверил.";1602
['Цитата #16187', ' 4 октября 2010 ', ' добавлено:bash.org.ru'];4 октября 2010 ;The God: тебя чо-та опять вынесло?Alena: у нас проблема с нетомThe God: иииии вынооосят меня, и выносят меняThe God: в холодный и мрачный офф-ла-а-а-айн...The God: три белых коня, три ебучих коняAlena: сервак, волокно и билайн;1585
['Цитата #32040', ' 20 июля 2012 ', ' добавлено:bash.org.ru'];20 июля 2012 | ;"Вышли с женой из магазина, а на ступеньках котёнок, няшный весьма.Жена умилённым голосом,- ""Какой хорошенький... Давай ему голову оторвем.""Люди вокруг начали беспокоиться и оборачиваться, пока мы рыбу из пакета не достали.";1584
['Цитата #11014', ' 19 января 2010 ', ' добавлено:bash.org.ru'];19 января 2010 ;Инна: А ты что, с Мариной уже не встречаешься?Andrew: ну месяца 3 как, ещё с Кабана свадьбы...Инна: А Кабан што, женился?Andrew: агаИнна: А на ком?Andrew: ну на Кате, они ж 3 года уже в Киеве живут...Инна: он что, в Киев переехал?Andrew: блять, ты кто?;1558
['Цитата #18109', ' 27 декабря 2010 ', ' добавлено:bash.org.ru'];27 декабря 2010;сегодня на паре вбежал препод, опоздав на 20 минут, в ушанке в валенках весь в снегу и с криком: все равно вы мой зачет завалите, пойдемте в снежки рубиться! убежал в неизвестном направлении;1550
['Цитата #11161', ' 27 января 2010 ', ' добавлено:bash.org.ru'];27 января 2010 ;xxx: опиши себяyyy: брюнеткаxxx: ага. а глаза?yyy: есть;1533
['Цитата #10679', ' 27 декабря 2009 ', ' добавлено:bash.org.ru'];27 декабря 2009;из жж:sex_my_friend> Когда-то я долго упадала за одним парнем, который работал недалеко от моего дома в ресторане. Я постоянно тусовалась в этом ресторане. Мы очень много времени проводили вместе после работы, как правило, по ночам, разъезжая по ночному городу. Никакого секса, сплошная романтика. И вот однажды, когда он, наконец, созрел пригласить меня на более серьезное свидание, случилось непредвиденное. В тот день мы встретились в том же ресторане. Он сел напротив с перекошенной и кислой физиономией. Интрига продлилась недолго:- Я стану папой.sex_my_friend> Я встала и ушла. Больше я его не видела. Говорят, через месяц он женился на матери своего ребенка и уехал в другой город.sex_my_friend> Спустя пару лет я встречаюсь с другим мужчиной. Все только начинается. И все очень мило. Мы сидим в суши-баре и он вдруг говорит: Я стану папой.sex_my_friend> Вот что такое дежавю!После свадьбы второго я рыдала, как белуга. Мужики – козлы!chronikulus> дай ка догадаюсь - второму ты тоже не давала;1528
['Цитата #16666', ' 20 октября 2010 ', ' добавлено:bash.org.ru'];20 октября 2010;финчер: я вчера кошака курицей покормил, он прям радовался )финчер: даже спать со мной пришел )Elf: кот спал с тобой за еду?;1528
['Цитата #16290', ' 7 октября 2010 ', ' добавлено:bash.org.ru'];7 октября 2010 ;Она: Девушка должна уметь закатывать 3 вещи: банки, глаза и истерику!Он: и губу;1525
['Цитата #16041', ' 29 сентября 2010 ', ' добавлено:bash.org.ru'];29 сентября 201;xxx: тебе кто-нибудь говорил, какая ты умная?ууу: Нет, ты будешь первым )ххх: не буду;1520
['Цитата #997', ' 25 августа 2008 ', ' добавлено:bash.org.by']; августа 2008 |;<[RFB]-Babay> по дискавери слышал: мы находимся на Аляске, это опасное и суровое место, ведь от сюда до России 80 километров…;1508
['Цитата #18028', ' 23 декабря 2010 ', ' добавлено:bash.org.ru'];23 декабря 2010;Я вертел так работать. Работаю в транспортной компании. Есть заказ на импорт от постоянного клиента, которого не хотелось бы подводить. Своих свободных машин нет. Заказ - везти презервативы. Из Чешкого города Pisek. Я больше морально не могу обзванивать потенциальных перевозчиков и деловым тоном узнавать, нет ли у них свободных машин под презервативы из города Писек....;1500
['Цитата #1081', ' 3 сентября 2008 ', ' добавлено:bash.org.ru']; сентября 2008 ;sartur> Когда я был маленьким, мне говорили, что буду богатым, когда вырасту, потому что у меня руки волосатые. Мне уже 25. Может кто-то подскажет со своего опыта, ЕЩЕ ДОЛГО ЖДАТЬ?;1486
['Цитата #14740', ' 28 июля 2010 ', ' добавлено:bash.org.ru'];28 июля 2010 | ;Проспал на работу, разбудил звонок начальника(н)я: здрасьте.н: ты где?я: ну я это... тут срочно пришлось...н: ври быстрее!!я: погодите, не отвлекайте.;1462
['Цитата #18289', ' 5 января 2011 ', ' добавлено:bash.org.ru'];5 января 2011 |;"Суббота. Лежу на диване - ""болею"", мучаю телефон. Этажом выше завелся сосед с перфоратором и уже около месяца методично что-то перфорирует. От нефиг делать включаю на телефоне ""синий зуб"", который тут же находит чью-то трубу. Попытка - не пытка: переименовываюсь в настройках как ""выключи, падла, перфоратор: заебал"" и посылаю запрос на соединение. Секунд через пять перфоратор замолкает и сверху доносится дикий ржач. Соседа уже дня два как не слышно.";1429
['Цитата #17464', ' 28 ноября 2010 ', ' добавлено:bash.org.ru'];28 ноября 2010 ;xxx: Взросление - это когда идешь по холоду без шапки и чувствуешь себя не крутым, а дебилом!;1414
['Цитата #16129', ' 2 октября 2010 ', ' добавлено:bash.org.ru'];2 октября 2010 ;Подруга: Я вещи постирала, когда вытащила - оказалось, что перед этим кот в машинку насрал ((;1405
